"page_url"	"nid"	"page_title"	"antall_ansatte"
"/yrker/beskrivelse/leder"	"395886"	"Leder"	"1678076"
"/yrker/beskrivelse/salgsmedarbeider"	"396030"	"Salgsmedarbeider"	"1532267"
"/yrker/beskrivelse/butikkmedarbeider"	"395767"	"Butikkmedarbeider"	"1294623"
"/yrker/beskrivelse/laerer"	"395895"	"Lærer"	"1193841"
"/yrker/beskrivelse/ingenior"	"395845"	"Ingeniør"	"1046013"
"/yrker/beskrivelse/pedagog"	"395932"	"Pedagog"	"819092"
"/yrker/beskrivelse/sykepleier"	"395997"	"Sykepleier"	"716586"
"/yrker/beskrivelse/barne-_og_ungdomsarbeider"	"395744"	"Barne- og ungdomsarbeider"	"716202"
"/yrker/beskrivelse/helsefagarbeider"	"395826"	"Helsefagarbeider"	"710260"
"/yrker/beskrivelse/adjunkt"	"415508"	"Adjunkt"	"588284"
"/yrker/beskrivelse/grunnskolelaerer"	"395722"	"Grunnskolelærer"	"534719"
"/yrker/beskrivelse/fagoperator_i_produksjonsteknikk"	"417295"	"Fagoperatør i produksjonsteknikk"	"524428"
"/yrker/beskrivelse/konsulent"	"395869"	"Konsulent"	"521248"
"/yrker/beskrivelse/renholdsoperator"	"395960"	"Renholdsoperatør"	"520930"
"/yrker/beskrivelse/it-konsulent"	"395850"	"IT-konsulent"	"486711"
"/yrker/beskrivelse/kontor-_og_administrasjonsmedarbeider"	"395870"	"Kontor- og administrasjonsmedarbeider"	"449995"
"/yrker/beskrivelse/sjafor"	"396100"	"Sjåfør"	"438358"
"/yrker/beskrivelse/tomrer"	"396017"	"Tømrer"	"334676"
"/yrker/beskrivelse/logistikkoperator"	"395890"	"Logistikkoperatør"	"326544"
"/yrker/beskrivelse/sivilingenior"	"395973"	"Sivilingeniør"	"315318"
"/yrker/beskrivelse/yrkessjafor"	"395885"	"Yrkessjåfør"	"301309"
"/yrker/beskrivelse/barnehageassistent"	"395745"	"Barnehageassistent"	"290320"
"/yrker/beskrivelse/barnehagelaerer"	"395811"	"Barnehagelærer"	"281326"
"/yrker/beskrivelse/konsulent_i_offentlig_sektor"	"396224"	"Konsulent i offentlig sektor"	"274879"
"/yrker/beskrivelse/radgiver_i_offentlig_sektor"	"396178"	"Rådgiver i offentlig sektor"	"269026"
"/yrker/beskrivelse/servitor"	"395972"	"Servitør"	"263168"
"/yrker/beskrivelse/pleiemedarbeider"	"3948517"	"Pleiemedarbeider "	"261872"
"/yrker/beskrivelse/lektor"	"395889"	"Lektor"	"259788"
"/yrker/beskrivelse/dataingenior"	"395772"	"Dataingeniør"	"258621"
"/yrker/beskrivelse/regnskapsforer"	"395956"	"Regnskapsfører"	"241479"
"/yrker/beskrivelse/sekretaer"	"395971"	"Sekretær"	"224309"
"/yrker/beskrivelse/lege"	"395887"	"Lege"	"212191"
"/yrker/beskrivelse/mekaniker"	"395908"	"Mekaniker"	"198578"
"/yrker/beskrivelse/skoleassistent"	"395979"	"Skoleassistent"	"188960"
"/yrker/beskrivelse/prosjektleder"	"3948522"	"Prosjektleder"	"185811"
"/yrker/beskrivelse/okonom"	"396026"	"Økonom"	"168043"
"/yrker/beskrivelse/supportkonsulent"	"396245"	"Supportkonsulent"	"167237"
"/yrker/beskrivelse/byggdrifter_vaktmester"	"396019"	"Byggdrifter / vaktmester"	"159182"
"/yrker/beskrivelse/kokk"	"395712"	"Kokk"	"155704"
"/yrker/beskrivelse/saksbehandler"	"395966"	"Saksbehandler"	"153556"
"/yrker/beskrivelse/okonomikonsulent"	"396117"	"Økonomikonsulent"	"152094"
"/yrker/beskrivelse/hjelpearbeider_bygg_og_anlegg"	"3962583"	"Hjelpearbeider (bygg og anlegg)"	"144410"
"/yrker/beskrivelse/vernepleier"	"396022"	"Vernepleier"	"141883"
"/yrker/beskrivelse/elektriker"	"395782"	"Elektriker"	"141070"
"/yrker/beskrivelse/butikksjef"	"3962572"	"Butikksjef"	"139121"
"/yrker/beskrivelse/vei-_og_anleggsarbeider"	"396090"	"Vei- og anleggsarbeider"	"131826"
"/yrker/beskrivelse/snekker"	"3956015"	"Snekker"	"130856"
"/yrker/beskrivelse/sosionom"	"395989"	"Sosionom"	"125874"
"/yrker/beskrivelse/petroleumsingenior"	"395934"	"Petroleumsingeniør"	"125429"
"/yrker/beskrivelse/resepsjonist"	"395961"	"Resepsjonist"	"123114"
"/yrker/beskrivelse/bonde"	"395763"	"Bonde"	"120556"
"/yrker/beskrivelse/idrettstrener"	"395838"	"Idrettstrener"	"119167"
"/yrker/beskrivelse/elektroingenior"	"395783"	"Elektroingeniør"	"118120"
"/yrker/beskrivelse/kunderadgiver_i_bank"	"395878"	"Kunderådgiver i bank"	"115025"
"/yrker/beskrivelse/personalradgiver"	"3948523"	"Personalrådgiver"	"111445"
"/yrker/beskrivelse/anleggsmaskinforer"	"395727"	"Anleggsmaskinfører"	"111414"
"/yrker/beskrivelse/byggingenior"	"396098"	"Byggingeniør"	"111326"
"/yrker/beskrivelse/trevaresnekker"	"395986"	"Trevaresnekker"	"111144"
"/yrker/beskrivelse/forsker"	"395800"	"Forsker"	"111110"
"/yrker/beskrivelse/miljoterapeut"	"396111"	"Miljøterapeut"	"105063"
"/yrker/beskrivelse/bilmekaniker_lette_kjoretoy"	"395752"	"Bilmekaniker (lette kjøretøy)"	"103314"
"/yrker/beskrivelse/politi"	"395939"	"Politi"	"103255"
"/yrker/beskrivelse/kantinemedarbeider"	"3948519"	"Kantinemedarbeider"	"101805"
"/yrker/beskrivelse/tilkomsttekniker"	"396211"	"Tilkomsttekniker"	"100601"
"/yrker/beskrivelse/markedsforingskonsulent"	"395899"	"Markedsføringskonsulent"	"97298"
"/yrker/beskrivelse/avloser"	"3962600"	"Avløser"	"97157"
"/yrker/beskrivelse/politibetjent"	"395940"	"Politibetjent"	"93358"
"/yrker/beskrivelse/salgssjef"	"3962574"	"Salgssjef"	"93063"
"/yrker/beskrivelse/bussjafor"	"395766"	"Bussjåfør"	"90796"
"/yrker/beskrivelse/fagarbeider_industriell_matproduksjon"	"396193"	"Fagarbeider industriell matproduksjon"	"89382"
"/yrker/beskrivelse/industrimekaniker"	"395842"	"Industrimekaniker"	"88269"
"/yrker/beskrivelse/stipendiat"	"395994"	"Stipendiat"	"87378"
"/yrker/beskrivelse/sivilokonom"	"395974"	"Siviløkonom"	"85499"
"/yrker/beskrivelse/betongfagarbeider"	"396045"	"Betongfagarbeider"	"81834"
"/yrker/beskrivelse/rorlegger"	"395965"	"Rørlegger"	"81542"
"/yrker/beskrivelse/bore-_og_vedlikeholdsoperator"	"396069"	"Bore- og vedlikeholdsoperatør"	"78819"
"/yrker/beskrivelse/taxisjafor"	"396006"	"Taxisjåfør"	"78745"
"/yrker/beskrivelse/miljoarbeider"	"3948521"	"Miljøarbeider"	"78186"
"/yrker/beskrivelse/jurist"	"395853"	"Jurist"	"77890"
"/yrker/beskrivelse/fagarbeider_sjomatproduksjon"	"396196"	"Fagarbeider sjømatproduksjon"	"76753"
"/yrker/beskrivelse/vekter"	"396020"	"Vekter"	"76655"
"/yrker/beskrivelse/hotellmedarbeider"	"3962585"	"Hotellmedarbeider"	"69699"
"/yrker/beskrivelse/speditor"	"395990"	"Speditør"	"69571"
"/yrker/beskrivelse/forsteamanuensis"	"396149"	"Førsteamanuensis"	"69399"
"/yrker/beskrivelse/helsesekretaer"	"395823"	"Helsesekretær"	"68186"
"/yrker/beskrivelse/ingenior_i_energi_og_miljo_i_bygg"	"3947309"	"Ingeniør i energi og miljø i bygg"	"67736"
"/yrker/beskrivelse/brannkonstabel"	"395764"	"Brannkonstabel"	"66539"
"/yrker/beskrivelse/kundeansvarlig_salg"	"3962589"	"Kundeansvarlig (salg)"	"64962"
"/yrker/beskrivelse/prosesstekniker"	"395947"	"Prosesstekniker"	"64150"
"/yrker/beskrivelse/attforingskonsulent"	"3946819"	"Attføringskonsulent"	"61056"
"/yrker/beskrivelse/aktivitor"	"395719"	"Aktivitør"	"60313"
"/yrker/beskrivelse/maler"	"395896"	"Maler"	"59755"
"/yrker/beskrivelse/barnehagestyrer"	"3969684"	"Barnehagestyrer"	"57616"
"/yrker/beskrivelse/frisor"	"395806"	"Frisør"	"56780"
"/yrker/beskrivelse/fu-operator"	"395807"	"FU-operatør"	"56373"
"/yrker/beskrivelse/cnc-operator"	"396118"	"CNC-operatør"	"55391"
"/yrker/beskrivelse/hms-ingenior"	"395828"	"HMS-ingeniør"	"53121"
"/yrker/beskrivelse/revisor"	"395963"	"Revisor"	"52257"
"/yrker/beskrivelse/professor"	"395946"	"Professor"	"51352"
"/yrker/beskrivelse/bartender"	"395749"	"Bartender"	"50633"
"/yrker/beskrivelse/psykolog"	"395950"	"Psykolog"	"49787"
"/yrker/beskrivelse/markedssjef"	"395900"	"Markedssjef"	"48489"
"/yrker/beskrivelse/personlig_assistent"	"395734"	"Personlig assistent"	"48334"
"/yrker/beskrivelse/sveiser"	"395996"	"Sveiser"	"47874"
"/yrker/beskrivelse/asfaltor"	"396041"	"Asfaltør"	"47712"
"/yrker/beskrivelse/okonomisjef"	"396027"	"Økonomisjef"	"47619"
"/yrker/beskrivelse/fysioterapeut"	"395809"	"Fysioterapeut"	"47215"
"/yrker/beskrivelse/innkjoper"	"3955874"	"Innkjøper"	"47134"
"/yrker/beskrivelse/forsikringsradgiver"	"395799"	"Forsikringsrådgiver"	"46933"
"/yrker/beskrivelse/maskiningenior"	"395901"	"Maskiningeniør"	"46402"
"/yrker/beskrivelse/ikt-servicemedarbeider"	"396048"	"IKT-servicemedarbeider"	"46361"
"/yrker/beskrivelse/eiendomsmegler"	"395781"	"Eiendomsmegler"	"45151"
"/yrker/beskrivelse/bioingenior"	"395754"	"Bioingeniør"	"45054"
"/yrker/beskrivelse/journalist"	"395852"	"Journalist"	"45035"
"/yrker/beskrivelse/markedsanalytiker"	"395898"	"Markedsanalytiker"	"43956"
"/yrker/beskrivelse/fjell-_og_bergverksarbeider"	"396061"	"Fjell- og bergverksarbeider"	"43807"
"/yrker/beskrivelse/systemutvikler"	"3962570"	"Systemutvikler"	"43065"
"/yrker/beskrivelse/fiskeoppdretter"	"395794"	"Fiskeoppdretter"	"42244"
"/yrker/beskrivelse/megler"	"395907"	"Megler"	"40515"
"/yrker/beskrivelse/programvareutvikler"	"3978737"	"Programvareutvikler "	"40364"
"/yrker/beskrivelse/arkitekt"	"395731"	"Arkitekt"	"39868"
"/yrker/beskrivelse/advokat"	"395714"	"Advokat"	"38006"
"/yrker/beskrivelse/barnevernspedagog"	"395748"	"Barnevernspedagog"	"37915"
"/yrker/beskrivelse/murer"	"395913"	"Murer"	"37683"
"/yrker/beskrivelse/platearbeider"	"395938"	"Platearbeider"	"37282"
"/yrker/beskrivelse/fagoperator_i_trelastfaget"	"396186"	"Fagoperatør i trelastfaget"	"36185"
"/yrker/beskrivelse/musikkpedagog"	"395915"	"Musikkpedagog"	"35154"
"/yrker/beskrivelse/forretningsutvikler"	"3962591"	"Forretningsutvikler"	"34991"
"/yrker/beskrivelse/gjenvinningsoperator"	"3946803"	"Gjenvinningsoperatør"	"32863"
"/yrker/beskrivelse/rektorskoleleder"	"395980"	"Rektor/skoleleder"	"32454"
"/yrker/beskrivelse/bilklargjorer"	"3947252"	"Bilklargjører"	"31976"
"/yrker/beskrivelse/anleggsgartner"	"395726"	"Anleggsgartner"	"31893"
"/yrker/beskrivelse/kommunikasjonsradgiver"	"396189"	"Kommunikasjonsrådgiver"	"31050"
"/yrker/beskrivelse/rokter"	"3962616"	"Røkter"	"30653"
"/yrker/beskrivelse/blikkenslager"	"395759"	"Blikkenslager"	"30279"
"/yrker/beskrivelse/finansanalytiker"	"396151"	"Finansanalytiker"	"30249"
"/yrker/beskrivelse/hjulutrustningsreparator"	"396078"	"Hjulutrustningsreparatør"	"30246"
"/yrker/beskrivelse/ambulansearbeider"	"395724"	"Ambulansearbeider"	"30179"
"/yrker/beskrivelse/matros"	"395905"	"Matros"	"29984"
"/yrker/beskrivelse/hjemmehjelp"	"396223"	"Hjemmehjelp"	"29491"
"/yrker/beskrivelse/helsesykepleier"	"395824"	"Helsesykepleier"	"29423"
"/yrker/beskrivelse/profileringsdesigner"	"3948520"	"Profileringsdesigner "	"28742"
"/yrker/beskrivelse/grafisk_designer"	"395817"	"Grafisk designer"	"28701"
"/yrker/beskrivelse/telekommunikasjonsmontor"	"396009"	"Telekommunikasjonsmontør"	"28611"
"/yrker/beskrivelse/undervisningsinspektor"	"396174"	"Undervisningsinspektør"	"28517"
"/yrker/beskrivelse/stillasbygger"	"396059"	"Stillasbygger"	"28244"
"/yrker/beskrivelse/personalsjef"	"395933"	"Personalsjef"	"28027"
"/yrker/beskrivelse/aluminiumskonstruktor"	"396086"	"Aluminiumskonstruktør"	"27146"
"/yrker/beskrivelse/mobelsnekker"	"395917"	"Møbelsnekker"	"26499"
"/yrker/beskrivelse/fengselsbetjent"	"395791"	"Fengselsbetjent"	"26490"
"/yrker/beskrivelse/telefonselger"	"3962573"	"Telefonselger"	"26088"
"/yrker/beskrivelse/landbruksradgiver"	"396135"	"Landbruksrådgiver"	"26014"
"/yrker/beskrivelse/dataelektroniker"	"396087"	"Dataelektroniker"	"25430"
"/yrker/beskrivelse/energimontor"	"395784"	"Energimontør"	"25315"
"/yrker/beskrivelse/jordmor"	"395851"	"Jordmor"	"25174"
"/yrker/beskrivelse/gartner"	"395812"	"Gartner"	"24960"
"/yrker/beskrivelse/bibliotekar"	"395750"	"Bibliotekar"	"24917"
"/yrker/beskrivelse/anleggsmaskinmekaniker"	"396063"	"Anleggsmaskinmekaniker"	"23986"
"/yrker/beskrivelse/baker"	"395743"	"Baker"	"23943"
"/yrker/beskrivelse/spesialsykepleier_innen_psykisk_helse"	"395949"	"Spesialsykepleier innen psykisk helse"	"23771"
"/yrker/beskrivelse/farmasoyt"	"396177"	"Farmasøyt"	"22874"
"/yrker/beskrivelse/tannlege"	"396002"	"Tannlege"	"22776"
"/yrker/beskrivelse/apotektekniker"	"395729"	"Apotektekniker"	"22002"
"/yrker/beskrivelse/ergoterapeut"	"395785"	"Ergoterapeut"	"21679"
"/yrker/beskrivelse/spesialpedagog"	"395991"	"Spesialpedagog"	"21595"
"/yrker/beskrivelse/produksjonselektroniker"	"396052"	"Produksjonselektroniker"	"21579"
"/yrker/beskrivelse/tannhelsesekretaer"	"396001"	"Tannhelsesekretær"	"21552"
"/yrker/beskrivelse/postbud"	"395944"	"Postbud"	"21337"
"/yrker/beskrivelse/reiselivsmedarbeider"	"395957"	"Reiselivsmedarbeider"	"20948"
"/yrker/beskrivelse/styrmann"	"395995"	"Styrmann"	"19966"
"/yrker/beskrivelse/avisbud"	"396105"	"Avisbud"	"19903"
"/yrker/beskrivelse/radiograf"	"395952"	"Radiograf"	"19863"
"/yrker/beskrivelse/idrettsutover"	"396107"	"Idrettsutøver"	"18647"
"/yrker/beskrivelse/bilselger"	"395753"	"Bilselger"	"18056"
"/yrker/beskrivelse/personlig_trener"	"396240"	"Personlig trener"	"17975"
"/yrker/beskrivelse/industrisnekker"	"396199"	"Industrisnekker"	"17862"
"/yrker/beskrivelse/kjokkensjef"	"3962576"	"Kjøkkensjef"	"17689"
"/yrker/beskrivelse/maskinist"	"396188"	"Maskinist"	"17687"
"/yrker/beskrivelse/glassfagarbeider"	"396074"	"Glassfagarbeider"	"17546"
"/yrker/beskrivelse/grunnarbeider_bygg"	"3962599"	"Grunnarbeider (bygg)"	"17538"
"/yrker/beskrivelse/prest"	"395945"	"Prest"	"17140"
"/yrker/beskrivelse/driftstekniker_it"	"3962623"	"Driftstekniker (IT)"	"17078"
"/yrker/beskrivelse/automatiker"	"395740"	"Automatiker"	"16830"
"/yrker/beskrivelse/musiker"	"395914"	"Musiker"	"16823"
"/yrker/beskrivelse/kabinbesetning_fly"	"395854"	"Kabinbesetning fly"	"16605"
"/yrker/beskrivelse/laborant"	"395882"	"Laborant"	"16399"
"/yrker/beskrivelse/statistiker"	"3962611"	"Statistiker"	"16029"
"/yrker/beskrivelse/tekstilrenser"	"396083"	"Tekstilrenser"	"15992"
"/yrker/beskrivelse/fagoperator_i_termoplast"	"3948524"	"Fagoperatør i termoplast"	"15945"
"/yrker/beskrivelse/isolator"	"395849"	"Isolatør"	"15531"
"/yrker/beskrivelse/fagoperator_i_polymerkompositt_herdeplast"	"396248"	"Fagoperatør i polymerkompositt / herdeplast"	"15522"
"/yrker/beskrivelse/redaktor"	"395954"	"Redaktør"	"15416"
"/yrker/beskrivelse/fisker"	"395795"	"Fisker"	"15152"
"/yrker/beskrivelse/plastmekaniker"	"3947256"	"Plastmekaniker"	"14969"
"/yrker/beskrivelse/industriell_overflatebehandler"	"3946806"	"Industriell overflatebehandler "	"14878"
"/yrker/beskrivelse/mediegrafiker"	"396029"	"Mediegrafiker"	"14323"
"/yrker/beskrivelse/spillprogrammerer"	"396096"	"Spillprogrammerer"	"14127"
"/yrker/beskrivelse/fotballtrener"	"395802"	"Fotballtrener"	"13735"
"/yrker/beskrivelse/skogsoperator"	"396068"	"Skogsoperatør"	"13452"
"/yrker/beskrivelse/pilot"	"395937"	"Pilot"	"13364"
"/yrker/beskrivelse/kranforer"	"395875"	"Kranfører"	"13361"
"/yrker/beskrivelse/trafikklaerer"	"396014"	"Trafikklærer"	"13300"
"/yrker/beskrivelse/bilskadereparator"	"396060"	"Bilskadereparatør"	"13026"
"/yrker/beskrivelse/maskinsjef"	"396208"	"Maskinsjef"	"12968"
"/yrker/beskrivelse/industrirorlegger"	"395843"	"Industrirørlegger"	"12676"
"/yrker/beskrivelse/guide"	"395818"	"Guide"	"12560"
"/yrker/beskrivelse/kjemiker"	"395862"	"Kjemiker"	"12323"
"/yrker/beskrivelse/vaskerioperator"	"396207"	"Vaskerioperatør"	"12320"
"/yrker/beskrivelse/teknisk_tegner"	"396007"	"Teknisk tegner"	"12274"
"/yrker/beskrivelse/fagoperator_i_grafisk_produksjonsteknikk"	"3962519"	"Fagoperatør i grafisk produksjonsteknikk"	"12268"
"/yrker/beskrivelse/pedagogisk-psykologisk_radgiver_pp-radgiver"	"417179"	"Pedagogisk-psykologisk rådgiver (PP-rådgiver)"	"12124"
"/yrker/beskrivelse/miljoradgiver"	"396249"	"Miljørådgiver"	"12111"
"/yrker/beskrivelse/reservedelsekspeditor"	"396047"	"Reservedelsekspeditør"	"11803"
"/yrker/beskrivelse/dyrepleier"	"395779"	"Dyrepleier"	"11514"
"/yrker/beskrivelse/kirketjener"	"395858"	"Kirketjener"	"11351"
"/yrker/beskrivelse/kosmetolog"	"395872"	"Kosmetolog"	"11261"
"/yrker/beskrivelse/veterinaer"	"396023"	"Veterinær"	"11152"
"/yrker/beskrivelse/fotballspiller"	"395801"	"Fotballspiller"	"11146"
"/yrker/beskrivelse/reseptarfarmasoyt"	"395962"	"Reseptarfarmasøyt"	"11128"
"/yrker/beskrivelse/flymotormekaniker"	"395797"	"Flymotormekaniker"	"11114"
"/yrker/beskrivelse/arkivar"	"395732"	"Arkivar"	"10821"
"/yrker/beskrivelse/taktekker"	"396000"	"Taktekker"	"10804"
"/yrker/beskrivelse/avioniker"	"395741"	"Avioniker"	"10392"
"/yrker/beskrivelse/flysystemmekaniker"	"396065"	"Flysystemmekaniker"	"10352"
"/yrker/beskrivelse/flystrukturmekaniker"	"396203"	"Flystrukturmekaniker"	"10335"
"/yrker/beskrivelse/it-leder"	"3962596"	"IT-leder"	"10293"
"/yrker/beskrivelse/overstyrmann"	"396222"	"Overstyrmann"	"10170"
"/yrker/beskrivelse/interiorkonsulent"	"395848"	"Interiørkonsulent"	"10125"
"/yrker/beskrivelse/menighetspedagog"	"396123"	"Menighetspedagog"	"10031"
"/yrker/beskrivelse/mediedesigner"	"395906"	"Mediedesigner"	"9854"
"/yrker/beskrivelse/kjemiingenior"	"395861"	"Kjemiingeniør"	"9781"
"/yrker/beskrivelse/lokomotivforer"	"396170"	"Lokomotivfører"	"9614"
"/yrker/beskrivelse/badevakt"	"395742"	"Badevakt"	"9569"
"/yrker/beskrivelse/produktutvikler"	"3962609"	"Produktutvikler"	"9474"
"/yrker/beskrivelse/konduktor"	"395867"	"Konduktør"	"9435"
"/yrker/beskrivelse/politijurist"	"395941"	"Politijurist"	"9331"
"/yrker/beskrivelse/biolog"	"395756"	"Biolog"	"9327"
"/yrker/beskrivelse/landmaler"	"395883"	"Landmåler"	"9128"
"/yrker/beskrivelse/energioperator"	"396082"	"Energioperatør"	"9037"
"/yrker/beskrivelse/toller"	"396013"	"Toller"	"9024"
"/yrker/beskrivelse/billakkerer"	"395751"	"Billakkerer"	"8957"
"/yrker/beskrivelse/industrimontor"	"3948518"	"Industrimontør"	"8851"
"/yrker/beskrivelse/landskapsarkitekt"	"395884"	"Landskapsarkitekt"	"8834"
"/yrker/beskrivelse/optiker"	"395924"	"Optiker"	"8793"
"/yrker/beskrivelse/geofysiker"	"395813"	"Geofysiker"	"8723"
"/yrker/beskrivelse/barista"	"3962593"	"Barista"	"8698"
"/yrker/beskrivelse/kaptein"	"396237"	"Kaptein"	"8173"
"/yrker/beskrivelse/grafisk_trykker"	"396046"	"Grafisk trykker"	"8112"
"/yrker/beskrivelse/tannpleier"	"396003"	"Tannpleier"	"7979"
"/yrker/beskrivelse/branningenior"	"396176"	"Branningeniør"	"7969"
"/yrker/beskrivelse/automasjonsingenior"	"3962597"	"Automasjonsingeniør"	"7942"
"/yrker/beskrivelse/prosessingenior"	"396209"	"Prosessingeniør"	"7647"
"/yrker/beskrivelse/motormekaniker"	"395912"	"Motormekaniker"	"7576"
"/yrker/beskrivelse/kulde-_og_varmepumpemontor"	"395877"	"Kulde- og varmepumpemontør"	"7536"
"/yrker/beskrivelse/geolog"	"395815"	"Geolog"	"7448"
"/yrker/beskrivelse/karriereveileder"	"395855"	"Karriereveileder"	"7258"
"/yrker/beskrivelse/gravferdskonsulent"	"396097"	"Gravferdskonsulent"	"7184"
"/yrker/beskrivelse/hotelldirektor"	"395830"	"Hotelldirektør"	"7073"
"/yrker/beskrivelse/matteknolog"	"3946566"	"Matteknolog"	"6988"
"/yrker/beskrivelse/studiekonsulent"	"3962581"	"Studiekonsulent"	"6949"
"/yrker/beskrivelse/skadedyrbekjemper"	"396247"	"Skadedyrbekjemper"	"6915"
"/yrker/beskrivelse/dommer"	"395777"	"Dommer"	"6900"
"/yrker/beskrivelse/samfunnsokonom"	"395967"	"Samfunnsøkonom"	"6863"
"/yrker/beskrivelse/slakter"	"395983"	"Slakter"	"6788"
"/yrker/beskrivelse/organistkantor"	"395926"	"Organist/Kantor"	"6782"
"/yrker/beskrivelse/fysiker"	"395808"	"Fysiker"	"6779"
"/yrker/beskrivelse/fagoperator_i_industrisomfaget"	"396089"	"Fagoperatør i industrisømfaget"	"6726"
"/yrker/beskrivelse/bronnoperator"	"395765"	"Brønnoperatør"	"6646"
"/yrker/beskrivelse/industrimaler"	"395841"	"Industrimaler"	"6632"
"/yrker/beskrivelse/hestefaglaert"	"396064"	"Hestefaglært"	"6534"
